,title,author,genre,platform,story,rate
158,그 남자의 하이힐, 김지미,"드라마, 코믹, 취미",다음 웹툰,하이힐을 만드는 남자 체이스 오와 하이힐을 신는 남자 만석의 운명적 이야기,9.5
159,유색의 멜랑꼴리, 비나리,"드라마, 일상, 가족",다음 웹툰,“이 결혼 용납 못 해!”  떨어지는 꽃잎 사이로 벌어진 난투극. 34살 유도완의 결혼식은 그렇게 망했다.,9.9
160,보글보글ㅤㅊㅑㅂㅤㅊㅑㅂ, 첨지,"일상, 드라마, 음식",다음 웹툰,맛있게 잘 먹겠습니다! 매일매일을 행복으로 채우는 맛있는 한입! ,9.5
161,같은 방에서, 혹등고래,"순정, 코믹, BL",다음 웹툰,모태 금수저 재벌 3세 하성과 프로절약러 흙수저 지호의 동거 라이프,9.5
162,특별직, 금기혁,"액션, 드라마, 사건사고",다음 웹툰,국민청원을 해결하기 위한 특별직. 호연은 임무 수행 중 과거의 숨겨진 진실들을 알게 된다.,9.8
163,용의주도 황비, 자주/산맡,"순정, 판타지, 빙의",다음 웹툰,세계관 최강자 백룡… 폭군의 아내가 되다?,9.5
164,내추럴 리드미칼 2, 전상영,"액션, 판타지, 갱스터",다음 웹툰,"SF액션 활극, 쑈오리 라마가 세상을 바꾼다! ",9.7
165,경성야상곡, 김라무,"드라마, 순정, 일제강점기",다음 웹툰,"1928년 일제강점기 경성, 두 소녀의 뒤바뀐 운명",9.9
166,괴물아기, 이상윤,"드라마, 판타지, 괴물",다음 웹툰,"우연히 괴물 아기를 키우게 된 가출 소년 김호, 과연 그들은 행복해질 수 있을까?!",9.8
167,카페 보문, 심우도,"드라마, 일상, 카페",다음 웹툰,사람들의 이야기가 만들어지고 마음을 나누는 공간 '카페 보문' 오픈하였습니다.,9.9
168,묘씨맥주점, 김경,"드라마, 일상, 고양이",다음 웹툰,솜방망이 손으로 건네는 맥주 한 잔과 작은 위로,9.9
169,일생에 변태를 세 번 만날 확률, 오리발,"학원, 탐정, 추리",다음 웹툰,교내 최고 인기인 얼음공주 차미라에게 배달된 선물... 그것은 남자의 XX?!,9.5
170,게뭐야, 지지,"코믹, 성인, 생활툰",다음 웹툰,평범하지만 평범하지 않은 두 남자의 이야기,8.3
171,여자만화 구두, 박윤영,"순정, 드라마, 사랑",다음 웹툰,내가 좋아하는 사람이 날 좋아하는 기적 같은 일. 내게도 생길 수 있을까?,9.7
172,우리학교 김선생님, 복슬,"드라마, 순정, 선생님",다음 웹툰,초보 교사 수지와 완벽한 교사 선우. 너무 다른 두 명의 김 선생님 이야기.,9.9
173,큐레이터, 김동우/송준혁,"판타지, 액션, 초능력",다음 웹툰,유물의  등장으로  지구는 망했다. 유물을 못 다루는 유물 관리 공무원의 본격 이능력 배틀물! ,9.5
174,오늘도 꽐랄라라, 아실,"드라마, 순정, 연애",다음 웹툰,술은 잘해도 연애는 잘 못하는 말술녀 4인방의 취중연애담,9.7
175,트레이스, 네스티캣,"판타지, 액션, 초능력",다음 웹툰,"트레이스, 트러블, 인간.. 그들의 생존을 건 싸움",9.8
176,조우, 최희선,"스릴러, 공포, 범죄",다음 웹툰,"누구나 맞닥뜨릴 수 있는, 하지만 결국은 남의 일로 치부해 버리는.",9.9
177,사내 맞선, 해화/들깨/NARAK,"순정, 코믹, 연애",다음 웹툰,친구 대타로 나간 선자리. 그런데 이 존잘 맞선남이 우리 회사 사장?!!,9.9
178,크라이시스, 타란트/조약돌,"판타지, 액션, 초능력",다음 웹툰,인류의 위기 속에서 펼쳐지는 초능력 소년 니코와 비밀을 간직한 소녀 리바의 모험!,9.7
179,진심이 닿다, 예거/더 앤트/더 앤트,"순정, 드라마, 미남미녀",다음 웹툰,연예계 탑 배우였던 오윤서. 재기를 위해 로펌에 비서로 위장 취업?!,9.8
180,레드스톰, 노경찬/암현,"액션, 무협, 무장",다음 웹툰,"사막의 찐득찐득한 모래바람과, 그곳을 질주하는 전사들의 이야기",9.5
181,방탕일기, 단지,"드라마, 일상, 30대",다음 웹툰,"34살, 제대로 놀아본 적 없는 성인의 뒤늦은 오춘기",5.7
182,꽃같은 인생, 김인정,"순정, 드라마, 연애",다음 웹툰,네 명의 친구들이 펼치는 울고 웃고 사랑하는 캠퍼스 라이프. 당신의 연애는 어떤 모습인가요?,9.2
183,우리 집에 왜 왔니, 이윤희,"순정, 드라마, 연애",다음 웹툰,바쁜 일상을 살아가는 회사원 서재희 앞에 나타난 낯설기만 한 그 녀석. 그 녀석에 대한 선입견을 벗겨라!,9.9
184,창백한 말, 추혜연,"판타지, 순정, 마녀",다음 웹툰,"1835년 프랑스, 마녀로 불리던 소녀의 핏빛 운명",9.2
185,심봉사전, 서강용,"무협, 액션, 딸",다음 웹툰,"장님이어도 그의 칼끝은 보이는 것처럼 날카로웠으니. 성은 심이요, 이름은 학규로다.",9.8
186,표류감옥, 조원표,"스릴러, 액션, 교도소",다음 웹툰,내가 취업한 곳은 사상 최악의 교도소. 그곳에서 살아남아야 한다,9.5
187,어름치, 박세가,"코믹, 드라마, 아르바이트",다음 웹툰,강원도 산골에서 펼쳐지는 뜨거운 노동 이야기,9.8
188,작약만가 : 불환곡, 인토르노,"판타지, 스릴러, 욕망",다음 웹툰,"비단위에 내 죽음이 몰아치는구나. 아, 희라! 돌아오지 못할 자여, 반벽의 노래로다.",9.9
189,여의주, 운/김한석,"드라마, 정치, 도전",다음 웹툰,취업 포기! 정치 도전! 당신의 정치는 무엇입니까? ,9.9
190,어둠이 걷힌 자리엔, 젤리빈,"미스터리, 판타지, 기담",다음 웹툰,<묘진전>작가 신작. 19nn년 경성의 한구석에 자리한 특별한 가게. 그곳에 모이는 기기묘묘한 사연들,10.0
191,내 일진이 이렇게 귀여울리가 없어, 김수오/일,"순정, 판타지, 병맛",다음 웹툰,악마처럼 날 괴롭히던 일진이 어느 날 조그만 인형 크기로 눈 앞에 나타났다?!,9.5
192,찬란한 액션 유치원, 탐이부/김동찬,"코믹, 액션, 병맛",다음 웹툰,찬란하지만 결코 유치하지 않은 아이들의 우정과 평화의 유년 드라마 (※본격교육웹툰),9.8
193,이태원 클라쓰, 광진,"드라마, 청춘, 술",다음 웹툰,"각자의 가치관이 어우러지는 이 곳, '이태원'. 이 거리를 살아가는 그들의 이야기",9.9
194,빌린 몸, 박세계,"순정, 판타지, 학원",다음 웹툰,"열 아홉 살, 순수하고 풋풋했던 그 시절 10대 마지막 순간의 알콩달콩 사랑 이야기",9.2
195,저녁 같이 드실래요?, 박시인,"순정, 연애, 음식",다음 웹툰,나에게도 꽃미남 밥 친구를! 음식에 얽힌 두 남녀의 비밀스런 연애 이야기,9.9
196,메모리스트, 재후,"미스터리, 스릴러, 기억",다음 웹툰,기억을 읽는 초능력 형사 '동백'. 미스터리한 연쇄 살인사건을 맞닥뜨리다!,9.9
197,까락, 서강용,"액션, 드라마, 조폭",다음 웹툰,주먹 자랑을 하지 말아야 하는 벌교. 그곳에 서울 '조폭'이 내려와 물을 흐린다!,9.4
198,대나무숲에서 알립니다, 이백/황짠느,"스릴러, 학원, 학교생활",다음 웹툰,"익명의 제보를 대신 전하는 '청록고 대나무숲', 누군가 나의 비밀을 폭로했다.",9.8
199,나는 엄마다, 순두부,"드라마, 일상, 육아",다음 웹툰,현재 엄마인 사람들 혹은 아닌 사람들 모두 공감하는 엄마의 이야기,9.8
200,겨울과 봄사이, 하래,"순정, 학원, 첫사랑",다음 웹툰,색청을 앓고 있는 하연에게 나타난 대비되는 색깔의 두 남자,9.9
201,개같은 세상, 정종수,"판타지, 드라마, 반려동물",다음 웹툰,개들은 알지 못하는 애완동물들의 이야기,9.9
202,돈나무, 유들/라떼,"스릴러, 드라마, 돈",다음 웹툰,"어느 날, 우리 집 뒷 마당에 돈이 열리는 나무가 자라났다!",9.2
203,배고픈 자들의 도시, 유칼립/휘,"판타지, 액션, 좀비",다음 웹툰,오랜 잠에서 깨어난 뱀파이어가 마주한 것은... 다름 아닌 좀비?!,9.9
204,9, 우윱,"스릴러, 미스터리, 살인",다음 웹툰,"90년대 구석진 시골 마을, 인간을 향한 복수가 시작된다.",9.8
205,드림사이드, 홍정훈/신월,"판타지, 좀비, 원작소설",다음 웹툰,"꿈을 꾸면 그 곳은 좀비가 들끓는  7년 후의 미래, 좀비로 인한 멸망을 막아라!",9.8
206,헬로 마이 안드로이드, 고선영,"판타지, 순정, 타임슬립",다음 웹툰,내 아들이라고 주장하는 소년이 나타났다. 갑자기 시작되는 좌충우돌 SF 로맨스,9.9
207,망자의 서, GAR2/오쌤,"미스터리, 남편, 죽음",다음 웹툰,죽은 남편의 편지가 도착했다.,9.9
208,달리는 여자, 지은광,"드라마, 순정, 첫사랑",다음 웹툰,"대학교 막학년에 찾아온 첫사랑, 복학생 달리의 대학교 로맨스!",9.8
209,계약우정, 권라드,"드라마, 학원, 고등학생",다음 웹툰,두 고등학생의 '나'로 살아남기,9.9
210,스틸레인3 : 정상회담, 양우석/제피가루,"드라마, 액션, 북한",다음 웹툰,정상회담을 위해 한자리에 모인 남북미 3인의 정상들. 예상치 못한 위기에 빠진다.,9.3
211,헤븐즈 소울, 하람/김영지,"액션, 판타지, 히어로",다음 웹툰,괴생명체 크리쳐의 공격에 맞서는 소녀들의 이야기,8.9
212,ONE, 이은재,"액션, 학원, 일진",다음 웹툰,문제는 세상에 나쁜 놈들이 너무 많다는 거야. 이건 혁명이야.,9.9
213,해치지않아, Hun,"드라마, 동물, 사육사",다음 웹툰,"동물원을 살리기 위한, 동물 없는 미친 동물원 개장!",9.6
214,여혜, 비나리,"순정, 드라마, 로맨스",다음 웹툰,가려진 진실과 휘말린 애증 속 엇갈리기만 하는 이들의 가슴 시린 시대극 로맨스.,9.9
215,4학년, 봉수,"스릴러, 드라마, 스토커",다음 웹툰,날 바라보는 아이의 눈빛이 이상하게 느껴진다. ,9.9
216,사귀자, 이노우/근영,"순정, 드라마, 초능력",다음 웹툰,천재 미녀 웹툰 작가 ‘공민주’에게 귀요미 귀신 ‘유령이’가 팬이라며 달라붙었다!,9.4
217,겟 레디 위드 미, 여은,"순정, 지식, 메이크업",다음 웹툰,"뷰티 크리에이터를 제안하는 지욱과, 관심 1도 없는 그림의 메이크업 로맨스",9.7
218,굿바이 사돈!, 교교박,"순정, 드라마, 연애",다음 웹툰,사돈 사이가 된 원수지간 남녀. 때마침 모든 걸 되돌릴 수 있는 기회가 눈앞에 찾아오는데!,9.9
219,아티스트, 마영신,"드라마, 코믹, 풍자",다음 웹툰,어린이들과 다를 바 하나 없는 예술가들의 욕망이 펼쳐진다.,9.8
220,이 콤플렉스, 이윤희,"순정, 성인, 하룻밤",다음 웹툰,"혹시 오늘 밤, 나와 함께 보내줄 수 있나요?",9.5
221,SAVAGE, 홍경표,"스릴러, 액션, 범죄",다음 웹툰,"야만의 시대, 욕망을 향한 짐승의 몸부림이 시작된다.",9.8
222,끼리끼리, 이주현,"코믹, 학원, 고등학생",다음 웹툰,아직 어리고 세상은 몰라도 우리끼리 재밌으면 된 것 아닌가요? 끼리끼리 렛츠기릿!,9.9
223,승은이 망극하옵니다, 참치캔,"판타지, 순정, 궁",다음 웹툰,"""내 후궁이 되지 않겠나."" ""..네? 전 남잔데요?"" 이세계에 떨어진 승은이, 집에는 돌아갈 수 있을까.",9.9
224,안개숲, 조원표,"스릴러, 드라마, 소름",다음 웹툰,"사고에 휘말린 세 남녀, 영원히 걷히지 않을 것 같은 안개숲에서 탈출할 수 있을까?",9.4
225,오피스텔, 조원표,"공포, 스릴러, 소름",다음 웹툰,자신이 가장 익숙하고 편안한 장소는 집. 그곳에 나 아닌 다른 존재가 느껴진다면?,9.2
226,네 살 차이, 마하로/이범,"순정, 드라마, 첫사랑",다음 웹툰,"궁합도 안 본다는 네 살 연상녀, 연하남. 성격도 취향도 다른 우리는 좋은 짝이 될 수 있을까?",9.6
227,들쥐, 루드비코,"스릴러, 드라마, 미스터리, 추리",다음 웹툰,십년 간 집에서만 살던 남자의 십년 만의 외출,9.8
228,대디보이, 이록,"학원, 드라마, 육아",다음 웹툰,자타 공인 최고의 인기남 한강. 연예인으로 데뷔하고자 하는 그에게 일생일대의 사건이 벌어진다,9.7
229,체이서, 하준성 ,"액션, 코믹, 모험",다음 웹툰,기억을 잃어버린 네드일행과 그를 쫓는 체이서들간의 코믹액션모험활극! ,9.2
230,껍데기, 김탐미,"스릴러, 드라마, 성형수술",다음 웹툰,"예뻐지고 싶은 태희와 성형외과 의사 도하, 그들은 껍데기만으로 행복해질 수 있을까?",9.4
231,Go Bananas, 센개,"순정, 드라마, BL",다음 웹툰,언제나 걸려오는 발신자 표시 제한 전화. 두 달 전 나를 매몰차게 버린 그녀일까? 아니면…,9.9
232,에 사는 사람들, 다원,"성인, 공포, 소름",다음 웹툰,"등골이 오싹하려던 찰나, 몸에서 벌레 기어 다니는 소리가 들린다!",9.6
233,풀 뜯어먹는 소리, 글피,"코믹, 일상, 농촌",다음 웹툰,서울 남자와 시골 여자의 몸에 좋고 맛도 좋은 귀촌 라이프,9.8
234,유사과학 탐구영역, 계란계란,"지식, 코믹, 유머",다음 웹툰,"현대판 약장수의 상업논리, 유사과학에 대하여 심층적으로 파헤치는 탐구만화",9.8
235,노인의 집, 이림/김종욱,"드라마, 노인, 청소년",다음 웹툰,매우 규칙적이고 성실하게 삶을 허비하는 노인의 집에 한 아이가 들어왔다.,9.9
236,밤에 사는 소녀, 문홍조,"드라마, 학원, 성장드라마",다음 웹툰,암울한 태생의 두 소녀에게서 일어나는 일들과 그들의 행복에 관한 이야기,9.9
237,악연, 최희선,"스릴러, 공포, 사채",다음 웹툰,"사채빚의 남자, 시체를 유기한 남자, 그리고 상처받은 여자. 그들은 악연이었다.",9.9
238,머리 위로 부는 바람, 이이영,"순정, 드라마, 첫사랑",다음 웹툰,"스무살 봄이 오기도 전, 그리고 2년 후 너를 다시 만났을 때",9.9
239,징크스의 연인, 한지혜/구슬,"순정, 드라마, 재벌",다음 웹툰,재벌가가 숨겨둔 행운의 여신이 가난하고 재수 옴 붙은 내게로 왔다.,9.9
240,유치원의 하루, 가바나,"코믹, 일상, 유치원",다음 웹툰,귀여운 아이들의 유치원 일상,9.5
241,원한 빛, 이상록,"판타지, 성인, 전생",다음 웹툰,기억이 지워지지 않는 끝없는 윤회. 형벌인가 기회인가.,9.8
242,과격자매단, 바쉬,"일상, 코믹, 자매",다음 웹툰,개성 강한 자매들의 일상을 파헤친다!,9.9
243,취준생물, 김판교,"드라마, 취업, 성장드라마",다음 웹툰,"힘든 취업난 속 무스펙, 학벌, 인맥을 이겨내고 취직에 성공해야만 한다.",9.8
244,대치동 일타강사, JP You/송예슬,"드라마, 학원, 선생님",다음 웹툰,"스승으로 모시기에 좀 애매한 그들, 강남 학원가를 주름잡는 일타강사에 도전하다",9.5
245,시동, 조금산,"드라마, 코믹, 가출",다음 웹툰,가출청소년의 어설픈 세상 적응기,9.9
246,남은 고양이, 김경,"드라마, 순정, 반려동물",다음 웹툰,남은 고양이의 임무는 '내 인간이 나 없이도 튼튼하게 지내도록 만드는 것!',9.9
247,더블랙LABEL, 김태희,"스릴러, 드라마, 권력",다음 웹툰,굴지의 대기업 내 범죄조직 BLACK LABEL. 구성원 대부분이 여성인 그 곳에서 벌어지는 여성 느와르,9.9
248,뿔, 팀 샐러드레씽,"판타지, 액션, 도깨비",다음 웹툰,"귀신을 보는 소녀, 어느 날 진짜 도깨비를 만나다!",9.5
249,카운터, 그리다즈/구나,"학원, 액션, 격투",다음 웹툰,고통스러운 기억과 현실에서 벗어나기 위한 차정은과 차혜리의 고군분투,8.8
250,N번째 연애, 율로,"순정, 드라마, 연애",다음 웹툰,몇번의 연애를 거쳐야 인연이 나타날까? 청춘 끝자락에서 진정한 사랑을 찾아가는 이야기,9.9
251,젠틀한 야수, 구리,"순정, 코믹, 병맛",다음 웹툰,명문 순정고등학교에 전학 온 양순호. 그리고 전학 첫 날! 이 학교엔 정상인이 없다!?,9.8
252,보통사이, 우현,"드라마, 순정, 연애",다음 웹툰,별거 아닌 말 한마디에서 시작됐다.,9.8
253,단지, 단지,"드라마, 일상, 공감",다음 웹툰,"'깨물어서 아프지 않은 손가락은 없다'는 거짓말이다. 나는 '단지', 잘린 손가락. ",9.8
254,0.0MHz, 장작,"공포, 괴담, 심령현상",다음 웹툰,심령현상을 과학적으로 밝히려는 위험한 발상의 사람들,9.7
255,어쩌다 발견한 7월, 무류,"순정, 판타지, 첫사랑",다음 웹툰,할 수 있는 게 이것 밖에 없었어. 단지 너를 만나러 가는 것.,9.9
256,너도 나랑, 석영,"순정, 드라마, 썸",다음 웹툰,고민투성이인 나에게 가장 큰 고민이 피자 vs 치킨?! ,9.9
257,1호선, 이은재,"공포, 스릴러, 좀비",다음 웹툰,"5회 다음공모전 대상작. 폐허가 된 서울, 그녀를 찾기 위해 1호선을 따라 걷는다",9.5
258,다정한 겨울, 이준,"드라마, 순정, 성장드라마",다음 웹툰,자라지 못하는 두 아이의 조금은 특별한 겨울나기,9.7
259,태양의 시, 목인,"판타지, 드라마, 신화",다음 웹툰,그토록 찬란했던 태양빛도 영원할 순 없었다. 그리고 남은 건…,9.9
260,그놈의 스캔들, 동남/하나,"드라마, 순정, 결혼생활",다음 웹툰,"사고뭉치 배우 지강혁과 톱스타 유제아, 그들이 선택한 결혼은?",9.8
261,허세남길들이기, 현마담,"코믹, 드라마, 첫사랑",다음 웹툰,"좋은 차, 좋은 집.. 모든 게 다 있는데, 정작 내 옆엔 네가 없네. 헤어진 여친을 그리워하는 성공한 찌질남의 이야기",8.6
262,햄스터와 그녀, jaw,"공포, 스릴러, 스토커",다음 웹툰,대학생 민규는 햄스터를 들고 다니는 이상한 여자와 엮이게 되면서 악몽 같은 일상을 겪게 되는데...,9.7
263,먼 트리트먼트, 종수,"드라마, 판타지, 귀신",다음 웹툰,백여 년 전 사라진 신을 찾아 헤매는 무당과 영들의 숨겨진 이야기,9.7
264,말괄량이 길들이기, 비아이,"드라마, 순정, 중세",다음 웹툰,카사노바 페트루키오는 까칠한 미녀 카트리나를 유혹해달라는 의뢰를 받는데?,9.8
265,이웃잔혹사, 신영,"스릴러, 드라마, 범죄",다음 웹툰,복권 당첨금을 둘러싸고 이웃 간에 벌어지는 잔혹드라마,9.7
266,생부, 김종훈,"판타지, 성인, 역사",다음 웹툰,조선초 단종복위운동을 배경으로 한 하드코어 액션사극. Daum만화공모대전 대상작,9.9
267,미래의 시간, 비둘기,"드라마, 스릴러, 다중인격",다음 웹툰,어느날 나도 모르게 나의 과거가 바뀌고 있다. 만화공모대전3 대상 수상작,9.7
268,빛나는 손을, 강은영,"순정, 판타지, 초능력",다음 웹툰,혼자에서 우리가 되기 위해 세상으로 뛰쳐 나온 한 소녀의 이야기,9.9
269,그래도 되는가, 우다,"드라마, 순정, 가족",다음 웹툰,"우리 가족을 괴롭히는 진상 친척들, 그래도 되는가? 만화공모대전2 대상 수상작",9.7
270,포 더 프린세스, TB,"순정, 드라마, 첫사랑",다음 웹툰,이루어지지 않았던 첫사랑을 테마파크 공연단의 파트너로 다시 만나는 동화같은 로맨스,9.9
271,"안녕, 엄마", 김인정,"드라마, 순정, 가족",다음 웹툰,엄마가 떠났고 엄마를 만났다. 가깝고도 먼 우리의 이별 이야기,10.0
272,사생, 엄세윤/도달,"스릴러, 드라마, 아이돌",다음 웹툰,"매일 사생팬들에게 시달리던 가수 ‘더키’, 어느 날 돌이킬 수 없는 사건에 휘말린다.",9.9
273,발자국이 녹기 전에, 서결,"드라마, 순정, 연애",다음 웹툰,"가상의 조선, 세상에 의한 아픔을 가진 사람들의 사랑 이야기",9.9
274,아귀, 디디,"공포, 미스터리, 돌연변이",다음 웹툰,스스로 지옥에 들어가버린 남자 4회 Daum 공모전 대상 수상작!,9.8
275,환상숲, 고동동,"판타지, 미스터리, 망상",다음 웹툰,"환상들이 모여서 이루어진 숲 환상숲, 그곳에서 벌어지는 신비한 사건들",9.7
276,아쿠아맨, 맥퀸스튜디오,"드라마, 순정, 솔로",다음 웹툰,누군가 내 연애를 자꾸 방해한다! 그게 내 친구라면? 신나루의 모태솔로 해방기!,9.9
277,지배, 박태현,"스릴러, 액션, 소름",다음 웹툰,누군가 우리 집을 지켜보고 있다! 미스테리한 존재에게 대항하는 인간들의 싸움,9.8
278,죽어도 좋아♡, 골드키위새,"순정, 드라마, 짝사랑",다음 웹툰,이루다 주임의 미중년 상사 백 과장. 이 둘 사이에 생긴 묘한 사건,9.8
279,우리 남매의 일상은, 손달섭,"코믹, 일상, 남매",다음 웹툰,대한민국 어디에나 있을법한 남매들의 화려한 일상!,9.1
280,무능력자, 비둘기,"드라마, 순정, 초능력",다음 웹툰,초능력을 잃어버린 남자와 까칠한 시골 여자의 좌충우돌 동거 로맨스,9.9
281,우두커니, 심우도,"드라마, 가족, 부부",다음 웹툰,"어느 날, 아버지에게 치매가 왔다.",10.0
282,홍도, s_owl,"판타지, 무협, 신화",다음 웹툰,동양 판타지. Daum 온라인 만화공모대전 우수상 수상작,9.9
283,박살소녀, 이원식/민홍,"학원, 순정, 퇴마",다음 웹툰,괴물도 때려잡는 최강소녀가 소년을 만났을 때,9.8
284,빈둥빈둥 환타스틱 유럽 여행기, 김환타,"일상, 코믹, 여행",다음 웹툰,유럽 3개국을 '빈둥빈둥' 여행한 작가의 좌충우돌 여행기,9.9
285,20세 보고서, YSE,"드라마, 학교생활, 친구",다음 웹툰,이제 막 성인이 된 초보 20세들의 이야기,9.8
286,티라레, 홍성수,"드라마, 판타지, 기억",다음 웹툰,재벌 3세 상속녀 '도도혜'. 어느 날 갑자기 찾아온 '기이한 고통'으로 그녀의 인생은 뒤틀린다!,9.9
287,크리스마스는 쨈과 함께, 루시드,"판타지, 드라마, 악마",다음 웹툰,"'개'로 추방된 악마 제임스, 다시 악마로 돌아가려면 사랑하는 주인을 죽여야 한다?!",9.9
288,어제 오늘 그리고 내일, 백두부,"코믹, 일상, 생활툰",다음 웹툰,하얗고 찰지구나~  감수성 남다른 두부의 깨알 디테일 라이프,9.8
289,언더그라운드 블러드팩, OZi,"액션, 메카닉, 지구멸망",다음 웹툰,"3년 간 생존, 100번의 임무수행… 살아남는다면 가족을 살릴 수 있다.",9.8
290,오랑캐, 봉수,"무협, 판타지, 무림",다음 웹툰,무림 고수를 사칭하는 무림 초짜의 이야기,9.3
291,고양이 마마님, 마루,"순정, 판타지, 전생",다음 웹툰,지금의 당신에게 소중한 시간은 언제인가요? 300년만에 다시 시작된 인연과 악연의 굴레.,9.9
292,고등패왕전기, 이충호,"액션, 격투, 배틀",다음 웹툰,‘전설적인 무신’ 항우와 ‘왕따 소년’ 유민의 힘겨운 공생과 투쟁! 그리고 사랑의 이야기!,9.2
293,의 밤은 당신의 낮보다 아름답다, 한동우/병수씨,"스릴러, 성인, 현실반영",다음 웹툰,실제사건을 모티브로 대한민국 권력의 실체를 파헤친다!,8.1
294,영웅의 변수, 정종수,"판타지, 드라마, 히어로",다음 웹툰,슈퍼히어로를 동경하던 시골청년. 꿈을 이루다!,9.9
295,찮은 관계, 김인정,"순정, 성인, 연애",다음 웹툰,"남부럽지 않은 연애 중인 고지원, 그녀에겐 부끄러운 고민이 있는데...",9.9
296,하면 좋습니까?, 미깡,"일상, 드라마, 여자들",다음 웹툰,"결혼 해, 말아? 오늘도 골치 아픈 30대 언니들의 통렬한 수다.",9.7
297,삐꾸래봉, 마영신,"드라마, 왕따, 일진",다음 웹툰,새끼손가락이 굽어서 왕따를 당하는 래봉이와  친구 은철이의 우정과 배려를 담은 이야기!,9.9
298,첫사랑은 죽었다, 곽인근,"드라마, 순정, 첫사랑",다음 웹툰,위기에 빠진 첫사랑을 구하라!!,7.8
299,에스키스, 정썸머,"순정, 드라마, 첫사랑",다음 웹툰,"여자가 싫은 미대생 '정시인', 그에게도 사랑이 찾아올까?",9.9
300,오만상과 편견, 유현숙,"드라마, 순정, 연애",다음 웹툰,매 순간마다 오해와 편견으로 부딪히는 남녀의 로맨스!,9.8
301,도, 강태경,"스릴러, 성인, 폭력",다음 웹툰,"들개들, 벼랑 끝에서 아귀떼를 만나다.",9.7
302,이끼, 윤태호,"스릴러, 권력, 농촌",다음 웹툰,"나를 거부하는 고향 사람들의 시선, 그 이유는? 한국식 잔혹스릴러의 막이 올랐다!",9.9
303,익명의 독서중독자들, 이창현/유희,"지식, 코믹, 독서",다음 웹툰,"""들고 읽어라!""",9.9
304,어쿠스틱 라이프, 난다,"코믹, 일상, 결혼생활",다음 웹툰,알콩달콩 공감백배 생활 만담 에피소드 만화!,9.7
305,놈들의 도시, 유들/라떼,"액션, 드라마, 모험",다음 웹툰,지구 상 모든 여성이 사라졌다! 인류의 유일한 여성 ‘나오’가 남성만 있는 도시에서 무사히 살아남을 수 있을까?,9.9
306,스킬, 와자,"드라마, 학원, 성장드라마",다음 웹툰,어디서든 최고가 되고 싶은 문제아 진우의 기술학교 정복기. ,9.7
307,화자, 홍작가,"미스터리, 공포, 현실반영",다음 웹툰,"도로시 밴드 이후 4년, 홍작가가 선보이는 화제의 신작!",9.8
308,그림형제 잔혹동화, Crom,"스릴러, 드라마, 괴담",다음 웹툰,아름다운 그림형제의 동화 속 이야기들. 그 동화의 잔혹한 비밀이 공개된다!,9.5
309,은밀하게 위대하게, Hun,"액션, 간첩, 북한",다음 웹툰,"천재 남파 간첩, 그의 임무는 동네 바보형?",9.8
310,단지 그것 뿐, 김용회,"드라마, 가족, 감동",다음 웹툰,17세 딸이 자기 딸이 아니란 것을 알게된 아빠와 딸의 가슴 따뜻한 좌충우돌 홈드라마~!,9.7
311,다시피는 꽃, 김용회,"드라마, 추억, 감동",다음 웹툰,"나이를 먹던, 먹지 않았던 누구나 자신만의 이야기가 있다. 위안부 할머니들의 애틋하고 슬픈 이야기",9.9
312,트리니티 원더, 전극진/박진환,"판타지, 액션, 무림",다음 웹툰,무협세계 최강고수와 판타지 세계 천재 마법사가 만난다면? 브레이커 두 작가의 신작!,9.7
313,피그말리온 컴플렉스, 문미영,"학원, 순정, 학교생활",다음 웹툰,금수저 학교에 잠입한 고아 소매치기 소녀의 삼단변신(?)이 시작된다!,9.6
314,오늘의 초능력, WONDER,"코믹, 판타지, 초능력",다음 웹툰,이딴 초능력 필요 없어! 매일매일 새로운 초능력을 얻는 소녀의 예측불허 코미디가 펼쳐진다!,9.8
315,골든왈츠, 세라,"순정, 드라마, 성장드라마",다음 웹툰,홍주와 해성이의 사랑하고 성장하는 아이스댄싱의 기적,9.9
316,The 윷놀리스트, 김라무,"드라마, 스포츠, 병맛",다음 웹툰,"윷놀이, 올림픽 정식 종목이 되다? 윷판을 지배하는 자만이 윷놀리스트가 될 수 있다! <만화공모대전3> 장려상 수상작",9.8
317,개밥도토리, 호형/망기,"드라마, 코믹, 강아지",다음 웹툰,갑자기 개가 된 조영수. 개인 듯 개 아닌 개 같은 그의 이야기.,9.9
318,벨트 위 벨트 아래, 마영신,"코믹, 드라마, 남자",다음 웹툰,"90년대 후반, 이태원과 한남동에서 잊을 수 없는 가슴 아픈 첫 사랑이 새겨진다.",9.6
319,곱게 자란 자식, 이무기,"드라마, 역사, 일본군",다음 웹툰,평범한 시골 소녀 이야기. .소녀만 평범한 그런 잔인한 이야기,9.9
320,토리의 아들, 호르자/영광,"성인, 스릴러, 중세",다음 웹툰,"가장 고귀한 여인의 감춰야만 하는 비밀, 가상의 유럽을 배경으로 펼쳐지는 서스펜스 드라마",9.9
321,엄마들, 마영신,"드라마, 엄마, 가족",다음 웹툰,"차라리 모르고 싶은 엄마들의 연애, 노동, 목소리",9.8
322,TEN, 이은재,"학원, 액션, 일진",다음 웹툰,지옥을 벗어나고 싶다면 10명 안에 들어야 한다.,9.8
