,id,title,author,genre,platform,story,age,rate,free,complete,thumbnail,website
28,,소쩍이 운다, 박흥용,"드라마, 여행, 생존",다음 웹툰,"생을 찾아 세상으로 나온 여자, 여자를 쫓는 무리, 그리고 여자를 지키려는 보디가드",0.0,9.9,1.0,0.0,http://t1.daumcdn.net/webtoon/op/f038bb4a517f70d8b60e18efbcaf741f4cefd70e,http://webtoon.daum.net/webtoon/view/cuckoocry
29,,딩스뚱스, 딩스,"일상, 코믹, 생활툰",다음 웹툰,"토종 한국인 딩스와 뚱스, 타지에서 맨 땅에 헤딩하기!",0.0,9.8,1.0,0.0,http://t1.daumcdn.net/webtoon/op/bc09916d67492333185a0e0817f5a5f55c752d29,http://webtoon.daum.net/webtoon/view/dings
30,,취향저격 그녀, 로즈옹,"순정, 드라마, 사랑",다음 웹툰,그의 심장을 저격하기 위해 뭉친 둘의 비밀스런 동거 라이프!,0.0,9.9,1.0,0.0,http://t1.daumcdn.net/webtoon/op/1492a8098e94aa3311ac5d761181df86c1ded165,http://webtoon.daum.net/webtoon/view/favorite
31,,화폐개혁, 윤필/임정호,"드라마, 스릴러, 돈",다음 웹툰,"최하층 밑바닥 삶 유일한, 그를 찾아온 1조 원의 상속 기회와 화.폐.개.혁!",0.0,9.0,1.0,0.0,http://t1.daumcdn.net/webtoon/op/ad075f7e41d13de021aa7d608006b2251c4ea1c2,http://webtoon.daum.net/webtoon/view/denomination
32,,오늘은 꼭 고백할 거야!, CHYA,"학원, 순정, 짝사랑",다음 웹툰,겉바속촉 김단의 험난한 짝사랑 고백 성공기,0.0,9.6,1.0,0.0,http://t1.daumcdn.net/webtoon/op/ef9352bde86a806d42195a404cc6b825a23087e4,http://webtoon.daum.net/webtoon/view/todaypropose
33,,아싸클럽, 랑쓰,"순정, 드라마, 사랑",다음 웹툰,'친구 없는 사람만 가입 가능!'  수상한 동아리 아싸클럽의 성장 스토리.,0.0,9.7,1.0,0.0,http://t1.daumcdn.net/webtoon/op/3e479b19fd455f35c6dea335f812fa3ac3f8272e,http://webtoon.daum.net/webtoon/view/outsiderclub
34,,대마법사의 딸, 문설아/새벽애,"판타지, 순정, 육아",다음 웹툰,줄곧 나를 미워한 부모님은 친부모님이 아니었다. 내게 진짜 아빠가 따로 있다고 한다. 그래서 떠났다. 친아빠에게로.,0.0,9.9,1.0,0.0,http://t1.daumcdn.net/webtoon/op/7863bbb9b858561e8f3f4cd502397eae24dd3c75,http://webtoon.daum.net/webtoon/view/magesdaughter
35,,환율이 바뀌었나요?, YB/쥐곰이,"드라마, 로맨스, 영혼",다음 웹툰,평범하게 살아가던 은행원 '이 율'. 꽃미남 사채업자와 몸이 뒤바뀌는데...?,0.0,9.7,1.0,0.0,http://t1.daumcdn.net/webtoon/op/d0a1d4df01d5cbe89a745800d3d48e1bd698a7d5,http://webtoon.daum.net/webtoon/view/exchangerate
36,,CELL, 강형규,"학원, 액션, 초능력",다음 웹툰,어느 날 생긴 예측불가의 초능력. 희망 없는 청춘에게 쓸모 없는 힘이 생겼다!,0.0,9.9,1.0,0.0,http://t1.daumcdn.net/webtoon/op/9f168e1e70d76ec3c7e59332483da22ba6b789a6,http://webtoon.daum.net/webtoon/view/cell
37,,하나하나둘, 고은,"순정, 드라마, 타임슬립",다음 웹툰,미래의 남편이 유령이 되어 나타났다?! 근데 나와의 과거를 기억 못 한다고?,0.0,9.9,1.0,0.0,http://t1.daumcdn.net/webtoon/op/76f49067e7105588afeca725265e5fb24877912b,http://webtoon.daum.net/webtoon/view/oneonetwo
