,id,title,author,genre,platform,story,age,rate,free,complete,thumbnail,website
30,,해피하우스, 장삥준,"스릴러, 드라마, 비밀",다음 웹툰,"인생 패배자 고덕봉, 현실에서 도망쳐 온 폐가의 귀신으로 거듭나며 제 2의 인생을 찾는 듯 하다.",0,9.7,1,0,http://t1.daumcdn.net/webtoon/op/adc6e39cde3b50e9a082494ec42f09566f75729d,http://webtoon.daum.net//webtoon/view/favorite
31,,이대로 멈출 순 없다, 자룡/골왕,"코믹, 학원, 학교생활",다음 웹툰," 사상 최악의 막장 쓰레기 문제아 학교, 정문여상에서 살아남기!",0,9.9,1,0,http://t1.daumcdn.net/webtoon/op/8ceaa9bbf75e63dcd76843ab972ff7ecb78d8a9d,http://webtoon.daum.net//webtoon/view/favorite
32,,이토록 보통의, 캐롯,"드라마, 순정, 사랑",다음 웹툰,"특별하지만, 보통의 연애",19,9.5,1,0,http://t1.daumcdn.net/cartoon/58A6AC20042CC40002,http://webtoon.daum.net//webtoon/view/favorite
33,,남남, 정영롱,"드라마, 코믹, 여자들",다음 웹툰,때론 정말 남이고 싶지만 남일 수 없는 이 관계,19,9.9,1,0,http://t1.daumcdn.net/webtoon/op/7fc87c87327f6d4408ddd0176073f684147551f7,http://webtoon.daum.net//webtoon/view/favorite
34,,주간소년열애사, 박시인,"순정, 드라마, 연애",다음 웹툰,"한 집에 사는 고등학생 5명의 '열애치정 드라마', 매주 금요일에 찾아갑니다.",0,9.9,1,0,http://t1.daumcdn.net/webtoon/op/9c88c68bf8d0bed8abaff128737eb9f5f4a3c7db,http://webtoon.daum.net//webtoon/view/favorite
35,,닥터 파인의 하루, 김용회,"드라마, 판타지, 순정, 삶",다음 웹툰,망자의 영혼을 수거하는 남자가 자기와 같은 일을 하는 옆 구역의 여자를 만나 펼쳐지는 삶과 사랑의 이야기,0,9.9,1,0,http://t1.daumcdn.net/webtoon/op/367df669bddc97195b8ec9a43792e53ef2ae4a42,http://webtoon.daum.net//webtoon/view/favorite
36,,오늘은 꼭 고백할 거야!, CHYA,"학원, 순정, 짝사랑",다음 웹툰,겉바속촉 김단의 험난한 짝사랑 고백 성공기,0,9.6,1,0,http://t1.daumcdn.net/webtoon/op/ef9352bde86a806d42195a404cc6b825a23087e4,http://webtoon.daum.net//webtoon/view/favorite
37,,하렘생존기, 오리발,"드라마, 순정, 음모",다음 웹툰,"17세기 오스만 제국 왕궁 하렘에서 벌어지는 나스챠와 아샤, 두 소녀의 우정과 욕망 이야기.",0,9.9,1,0,http://t1.daumcdn.net/webtoon/op/71466a92011993fc2449af943b5fc52af1522bcf,http://webtoon.daum.net//webtoon/view/favorite
38,,오무라이스 잼잼, 조경규,"일상, 코믹, 음식",다음 웹툰,한끼 한끼 최선을 다 해 먹는 조경규 작가의 맛나는 세상!,0,8.9,1,0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55261FAF02271B0002,http://webtoon.daum.net//webtoon/view/favorite
39,,대마법사의 딸, 문설아/새벽애,"판타지, 순정, 육아",다음 웹툰,줄곧 나를 미워한 부모님은 친부모님이 아니었다. 내게 진짜 아빠가 따로 있다고 한다. 그래서 떠났다. 친아빠에게로.,0,9.9,1,0,http://t1.daumcdn.net/webtoon/op/7863bbb9b858561e8f3f4cd502397eae24dd3c75,http://webtoon.daum.net//webtoon/view/favorite
